I
1050 Generated by WorldEditor

1      0 1 0 XEDD10 Marineflieger Stuetzpunkt Helgoland
100 18.00 15 0 0.00 1 2 1 01  54.17514408  007.88982252    0    0 2 9 0 0 19  54.17531766  007.88983742    0    0 2 9 0 0
110 2 0.00 0.0000 New Taxiway 27
111  54.17566388  007.89025664
111  54.17565448  007.89023970
111  54.17564508  007.89025634
113  54.17565452  007.89027346
110 2 0.00 0.0000 New Taxiway 27
111  54.17552936  007.89047516
111  54.17551996  007.89045823
111  54.17551056  007.89047486
113  54.17552001  007.89049198
110 2 0.00 0.0000 New Taxiway 27
111  54.17537720  007.89072006
111  54.17536779  007.89070312
111  54.17535840  007.89071975
113  54.17536784  007.89073688
110 2 0.00 0.0000 New Taxiway 27
111  54.17519857  007.89062775
111  54.17518917  007.89061081
111  54.17517978  007.89062745
113  54.17518922  007.89064457
110 2 0.00 0.0000 New Taxiway 27
111  54.17506626  007.89039656
111  54.17505686  007.89037962
111  54.17504746  007.89039625
113  54.17505690  007.89041338
110 2 0.00 0.0000 New Taxiway 27
111  54.17497003  007.89022701
111  54.17496063  007.89021008
111  54.17495123  007.89022671
113  54.17496068  007.89024384
110 2 0.00 0.0000 New Taxiway 27
111  54.17531309  007.89081695
111  54.17530369  007.89080001
111  54.17529430  007.89081665
113  54.17530374  007.89083377
110 2 0.00 0.0000 New Taxiway 27
111  54.17485227  007.88999705
111  54.17484287  007.88998012
111  54.17483347  007.88999675
113  54.17484292  007.89001387
110 2 0.00 0.0000 New Taxiway 27
111  54.17493511  007.88985037
111  54.17492571  007.88983344
111  54.17491632  007.88985007
113  54.17492576  007.88986719
110 2 0.00 0.0000 New Taxiway 27
111  54.17506862  007.88964919
111  54.17505921  007.88963225
111  54.17504982  007.88964888
113  54.17505926  007.88966601
110 2 0.00 0.0000 New Taxiway 27
111  54.17520142  007.88943907
111  54.17519256  007.88942244
111  54.17518262  007.88943877
113  54.17519207  007.88945589
110 1 0.00 0.0000 New Taxiway 23
111  54.17535787  007.88936849
111  54.17530892  007.88928615
111  54.17525771  007.88936978
113  54.17530666  007.88945727
